Rank,TrackArn,TrackName,TrackDescription,TrackReleaseTime,TrackDifficulty,TrackLength,TrackWidth,TrackUsageCount
1,arn:aws:deepracer:us-east-1::track/2024_reinvent_champ,Forever Raceway,"The Forever Raceway is the grand finale of the DeepRacer Championship League. Inspired by the RL Speedway, this final track features short, narrow sprints and sharp 90-degree turns that test the ML skill sets of the world's fastest developers. Bring all your skills to this race, as it is the last and final track to crown the ultimate AWS DeepRacer Champion.",1727740800000,35,25.1,76.2,59
2,arn:aws:deepracer:us-east-1::track/2022_reinvent_champ,2022 re:Invent Championship,Get ready to rev your engines on the official 2022 re:Invent Championship track! This is an intensely difficult track (35.87 m) featuring a technical chicane section that will challenge even the most skilled developers.,1664557200000,10,33.27,0.95,1769
3,arn:aws:deepracer:us-east-1::track/2022_october_pro,Jennens Super Speedway,"The Jennens Super Speedway (62.07 m) is named in honor of the first ever racing family and 2021 re:Invent finalists James ""JJ"" and Timothy ""Flatearth"" Jennens. Pros this month will need to navigate the technical section without off tracks, and apply top speeds on the drag strips to climb the leaderboard.",1664557200000,40,62.08,1.07,40
4,arn:aws:deepracer:us-east-1::track/2022_october_open,Jennens Family Speedway,"The Jennens Family Speedway (49.56 m) is named in honor of the first ever racing family and 2021 re:Invent finalists James ""JJ"" and Timothy ""Flatearth"" Jennens. This track features two blistering fast drag strips right into unforgiving 90 degree sweeping turns that can spin out even the most skilled developers.",1664557200000,40,49.57,1.07,11
5,arn:aws:deepracer:us-east-1::track/2022_september_pro,Roger Super Raceway,"Are you ready rip on the Roger Super Raceway? The Roger Super Raceway was inspired by a real-life track in the home town of AWS Community Member, Roger Logan. At 60.17m this track features no shortage of lightning fast drag strips and unforgiving technical sections that will put even the most skilled developer to the test.",1661990400000,70,60.18,106.68,124
6,arn:aws:deepracer:us-east-1::track/2022_september_open,Roger Ring,"Get ready rip on the Roger Ring! This track at 45.3m honoring community member, Roger Logan, features a lightning fast drag strip straight into back-to-back 90 degree turns will undoubtedly send developers careening into the green. Do you have the skills to keep all four wheels on track? Submit your model today and find out!",1661990400000,40,45.3,106.68,36
7,arn:aws:deepracer:us-east-1::track/2022_august_pro,Jochem Highway,"Time to put your developer skills to the test on the Jochem Highway named after AWS Community member and re:Invent 2021 finalist, Jochem Lugtenburg. This incredibly difficult track features no shortage of technical sections from double 90 degree turns to unforgiving hairpin sections. The Jochem Highway will surely deliver plenty of off tracks to even the most skilled developers.",1659312000000,68,63.88,106.68,51
8,arn:aws:deepracer:us-east-1::track/2022_august_open,Jochem Turnpike,"Put your developer skills to the test on the Jochem Turnpike named after AWS Machine learning Community member and re:Invent 2021 finalist, Jochem Lugtenburg. This track features no shortage of zigzags and tricky hairpin turns. Does your model have what it takes to make it around the broad, sweeping turns and climb the leaderboard? Get racing today and find out!",1659312000000,30,43.31,106.68,23
9,arn:aws:deepracer:us-east-1::track/2022_july_pro,DBro Super Raceway,"Named after the 2021 AWS DeepRacer finalist Darren ""DBro"" Broderick, the DBro Super Raceway features 2 lightning fast dragstrips and an unforgiving technical section of hairpin turns and cutbacks. Do you have what it takes to advance or will get caught doing DOH-nuts in the green?",1656633600000,70,57.89,106.68,109
10,arn:aws:deepracer:us-east-1::track/2022_july_open,DBro Raceway,"Get ready to burn rubber on the DBro Raceway named after 2021 AWS DeepRacer finalist Darren ""DBro"" Broderick. This track features 3 lightning fast drag strips into sweeping turns. Do you have what it takes to advance or will get caught doing DOH-nuts in the green?",1656633600000,25,40.2,106.88,37
11,arn:aws:deepracer:us-east-1::track/2022_june_pro,BreadCentric Speedway,"The BreadCentric Speedway is named after AWS DeepRacer Community Hero, Tomasz Ptak AKA ""BreadCentric"". This track adds a deceivingly technical section with an unforgiving hairpin turn separating the varying dragstrips. The BreadCentric Speedway will test the skills of even the most experienced developer.",1654041600000,10,58.61,106.68,130
12,arn:aws:deepracer:us-east-1::track/2022_june_open,BreadCentric Loop,"The BreadCentric Loop is named after AWS DeepRacer Community Hero, Tomasz Ptak AKA ""BreadCentric"". This track challenges racers with lightning fast drag strips and variable sweeping turns. While the BreadCentric Loop seems simple expect to see no shortage of off tracks.",1654041600000,10,41.28,106.88,38
13,arn:aws:deepracer:us-east-1::track/2022_may_open,Ross Raceway,"The Ross Raceway was named in honor of the 2021 AWS DeepRacer 3rd place Champion, Ross Williams. Expect to see racers put the pedal to the metal on the 3x dragstrips featured on the Ross Raceway, but there will be no shortage of off tracks as they navigate the various sweeping turns.",1651363200000,40,46.16,107.0,266
14,arn:aws:deepracer:us-east-1::track/2022_may_pro,Ross Super Speedway,"The Ross Super Raceway was named in honor of the 2021 AWS DeepRacer 3rd place Champion, Ross Williams. Pro racers will be put to the test in navigating an unforgiving technical section full of variable angle turns, along with 2x lightning fast straightaways.",1651363200000,75,63.92,107.0,153
15,arn:aws:deepracer:us-east-1::track/2022_april_pro,Ace Super Speedway,"The Ace Super Speedway was named in honor of the 2021 AWS DeepRacer 2nd place Champion, Yousuf Nizam. Featuring full throttle straightaways and unforgiving hairpin turns the Ace Super Speedway will surely require an ace in the hole to come away with a win.",1648771200000,68,67.46,107.0,148
16,arn:aws:deepracer:us-east-1::track/2022_april_open,Ace Speedway,"The Ace Speedway was named in honor of the 2021 AWS DeepRacer 2nd place Champion, Yousuf Nizam. Expect many developers ace this track with lightning fast race times featuring a single sprint dragstrip into a broad sweeping turns.",1648771200000,35,50.3,107.0,299
17,arn:aws:deepracer:us-east-1::track/2022_march_open,Rogue Circuit,"Named in honor of the 2021 DeepRacer Championship Cup winner, Sairam Naragoni, the Rogue Circuit is a short track (48.06m) features a variety of moderate curves and sweeping turns. 
",1646092800000,60,48.07,106.88,216
18,arn:aws:deepracer:us-east-1::track/2022_march_pro,Rogue Raceway,"Named in honor of the 2021 DeepRacer Championship Cup winner, Sairam Naragoni, the Rogue Raceway boasts a variety of sweeping turns and drag strips for a worthy training challenge.",1646092800000,75,76.76,106.68,161
19,arn:aws:deepracer:us-east-1::track/2022_summit_speedway,RL Speedway,Kick starting the 2022 AWS DeepRacer Virtual Circuit with the debut of the Summit Speedway (25.23m). This track is comprised of short sprints and multiple hard decelerating 90 degree turns. Put your developer skills to the test and race the Summit Speedway in-person at AWS Summits returning in 2022!,1643673600000,25,25.24,106.88,711
20,arn:aws:deepracer:us-east-1::track/caecer_loop,Vivalas Loop,The Vivalas Loop perimeter features a modified oval full of high speed straightaways primed for passing and all out speed. Which racers will roll the dice and go all in?,1635588000000,25,39.12,108.0,87
21,arn:aws:deepracer:us-east-1::track/caecer_gp,Vivalas Speedway,"Inspired by a historic Las Vegas track of yesteryear, the Vivalas Speedway is the second longest, and most difficult track to be released in 2021. 5 consecutive opposing hairpins are framed in by the Vivalas Loop perimeter; a modified oval full of high speed straightaways primed for passing and all out speed. Which racers will go all in and gamble it all for the jackpot?",1635552000000,70,73.78,108.0,229
22,arn:aws:deepracer:us-east-1::track/red_star_open,Expedition Loop,Go where no racer has gone before on the Expedition Loop track! This is a short track at 44.04m featuring two dragstrips and an unforgiving hairpin turn. Expect to see no shortage of off tracks on this challenging course.,1633021200000,52,43.47,1.07,13
23,arn:aws:deepracer:us-east-1::track/red_star_pro,Expedition Super Loop,The pro racers will be drifting into uncharted territory on the Expedition Super Loop! This is a long track at 69.96m featuring exceptionally difficult hairpin turns and high speed straightaways. This track is sure to test even the most skillful racers.,1633021080000,47,69.17,1.07,399
24,arn:aws:deepracer:us-east-1::track/morgan_pro,Playa Super Raceway, At 59.8m the Playa Super Raceway features back-to-back hairpin turns and two straightaway opportunities to generate speed. A successful run will require skillful command of time (steps) and (action) space.,1630454400000,57,59.57,1.07,144
25,arn:aws:deepracer:us-east-1::track/morgan_open,Playa Raceway,The Playa Raceway is a short track at 45.16m featuring one long drag strip for generating speed with an unforgiving hairpin turn. While the track seems simple expect to see no shortage of off tracks.,1630454400000,55,45.06,1.07,5
26,arn:aws:deepracer:us-east-1::track/arctic_pro,Hot Rod Super Speedway,"The Hot Rod Super Speedway adds pro difficulty to the short track counterpart. With a length of 59.69m, the speed loving arch is replaced by 4 short straightaways coupled with variable angle turns. Skillful racers may bisect the chicanes to extending speed generating opportunities and pull away from the pack.",1627689601000,64,59.5,1.07,180
27,arn:aws:deepracer:us-east-1::track/arctic_open,Hot Rod Speedway,"Featuring a short length of just 42.25m, the Hot Rod Speedway caters to speed loving dragsters with multiple fast running drag strips tied together by friendly sweeping turns. Expect to see blistering fast times this month as models rev their engines and burn rubber around this track.",1627689601000,55,42.21,1.07,129
28,arn:aws:deepracer:us-east-1::track/dubai_pro,Baja Highway,"At 65.18m, The Baja Highway extends upon the shorter turnpike with pro level difficulty and even more opportunities for generating speed. A second massive straightaway mid course is similarly capped by a hairpin and increasing radius turn, along with an unforgiving technical section full of wrought with tight cutbacks and hairpins.",1625072280000,24,64.67,1.07,78
29,arn:aws:deepracer:us-east-1::track/dubai_open,Baja Turnpike,"At 40.79m, the Baja Turnpike is a short angular track that mixes full throttle straightaways with hard decelerating turns. Signature features include a long high speed sprint over the finish line end capped by a harsh hairpin and tight 90 degree turn. While you won't find any sand traps on this course there are no shortage of places to get stuck.",1625072280000,50,40.56,1.07,163
30,arn:aws:deepracer:us-east-1::track/hamption_open,Kuei Raceway,"Kuei Raceway is a fast short track (46.15m) with a friendly high speed arch and two straightaways interspersed between 2 hairpins, a chicane, and a technical cutback hairpin. It is named after 3rd place DeepRacer League finalists Kuei of NCTU CGI Taiwan.",1623368700000,52,45.93,1.06,11
31,arn:aws:deepracer:us-east-1::track/jyllandsringen_pro,Cosmic Circuit,Cosmic Circuit expands the universe of its short loop cohort (62.24m). The pro difficulty course adds a deceivingly technical section with multiple 90 degree turns separating meandering sprints void of a true straightaway.,1621978121676,37,62.02,1.06,154
32,arn:aws:deepracer:us-east-1::track/jyllandsringen_open,Cosmic Loop,Cosmic Loop is a short track (46.18m) that features a single sprint straightaway and a challenging technical section with multiple 90 degree turns and and two hairpins. A successful run will require skillful command of time (steps) and (action) space.,1621977289088,50,46.12,1.06,101
33,arn:aws:deepracer:us-east-1::track/hamption_pro,Kuei Super Raceway,Kuei Super Raceway adds pro difficulty to its short track counterpart by extending overall length in the form of a straightaway with a technical 4x double apex section. It is named after 3rd place DeepRacer League finalists Kuei of NCTU CGI Taiwan.,1619827200000,35,60.74,1.06,33
34,arn:aws:deepracer:us-east-1::track/thunder_hill_pro,Lars Circuit,Lars Circuit is a pro difficulty track that adds an increasing to decreasing double apex and multiple high speed straightaways to its shorter cohort Lars Loop. It is named in honor of 2020 AWS DeepRacer League silver medalist Lars Ludvigsen (Duckworth).,1617235201000,28,59.23,107.0,113
35,arn:aws:deepracer:us-east-1::track/thunder_hill_open,Lars Loop,"Lars Loop is a short track comprised of a modified oval with increasing radius and double apex, a varying double chicane, and a broad hairpin final stretch. It is named in honor of 2020 AWS DeepRacer League silver medalist Lars Ludvigsen (Duckworth).",1617235201000,34,41.55,107.0,62
36,arn:aws:deepracer:us-east-1::track/penbay_open,Po-Chun Speedway,"Po-Chun Speedway is a short track (68.68m) featuring a simple oval track paired with a dragstrip, and single hairpin. It is named in honor of the 2020 AWS DeepRacer League Champion from NCTU CGI Taiwan.",1614560400000,43,68.68,107.0,237
37,arn:aws:deepracer:us-east-1::track/penbay_pro,Po-Chun Super Speedway,Po-Chun Super Speedway is a long track (89.24m) which adds back-to-back hairpins and a high speed right angle turn its short track counterpart. It is named in honor of the 2020 AWS DeepRacer League Champion from NCTU CGI Taiwan.,1614560400000,31,89.24,107.0,55
38,arn:aws:deepracer:us-east-1::track/Monaco_building,European Seaside Circuit - Buildings,"A highly technical track, the European Seaside Circuit’s tight turns weave through a timeless Mediterranean cliffside village with iconic buildings.

Length: 60 m (197')
Width: 128 cm (50"")",1609718400000,61,60.0,128.0,20
39,arn:aws:deepracer:us-east-1::track/Singapore_building,Asia Pacific Bay Loop - Buildings,"Streak through the Marina Bay’s waterfront on the Asia Pacific Bay Loop, a fast and open nighttime track with iconic buildings.

Length: 60 m (197')
Width: 135 cm (53"")",1609718400000,78,60.0,135.0,49
40,arn:aws:deepracer:us-east-1::track/Austin,American Hills Speedway,"Set in the Southern United States, the American Hills Speedway is a classic circuit, featuring two technical turn sections and three high speed straightaways.

Length: 59 m (194')
Width: 131 cm (52"")",1604966400000,54,59.0,131.0,186
41,arn:aws:deepracer:us-east-1::track/Singapore,Asia Pacific Bay Loop,"Streak through the Marina Bay’s waterfront on the Asia Pacific Bay Loop, a fast and open nighttime track.

Length: 60 m (197')
Width: 135 cm (53"")",1604966400000,78,60.0,135.0,70
42,arn:aws:deepracer:us-east-1::track/Monaco,European Seaside Circuit,"A highly technical track, the European Seaside Circuit’s tight turns weave through a timeless Mediterranean cliffside village, without buildings.

Length: 60 m (197')
Width: 128 cm (50"")",1604966400000,61,60.0,128.0,215
43,arn:aws:deepracer:us-east-1::track/Aragon,Stratus Loop,"An all-out sprint to the finish line, the Stratus Loop is a speed-loving track featuring two massive straightaways punctuated by broad, sweeping hairpins.

Length: 60 m (197')
Width: 105 cm (41"")",1601510400000,36,60.0,105.0,37
44,arn:aws:deepracer:us-east-1::track/Belille,Cumulo Turnpike,"The Cumulo Turnpike shifts from high-speed straightaways to challenging corners. It requires a perfect storm of exceptional navigation skill and speed control.

Length: 60 m (197')
Width: 106 cm (42"")",1598918400000,33,60.0,106.0,911
45,arn:aws:deepracer:us-east-1::track/Albert,Yun Speedway,"“Yun” is the Chinese word for “cloud.” A broad loop demanding constant cornering, the Yun Speedway is the lofty domain of the racing line specialist.

Length: 51 m (167')
Width: 107 cm (42"")",1596240000000,82,51.0,107.0,147
46,arn:aws:deepracer:us-east-1::track/July_2020,Roger Raceway,"Named in honor of the 2019 Championship Cup bronze medalist, Roger Chu, the Roger Raceway boasts a variety of complex curves for a worthy training challenge.

Length: 60 m (196.5')
Width: 107 cm (42"")",1593561600000,56,60.0,107.0,22
47,arn:aws:deepracer:us-east-1::track/FS_June2020,Fumiaki Loop,"Dedicated to our runner up at the 2019 Championship Cup and inspired by Fuji Speedway, the Fumiaki Loop is a serious challenge for any developer. Start racing today for your opportunity to punch a ticket to re:Invent 2023!


Length: 53 m (173.5')
Width: 107 cm (42"")",1590969600000,32,53.0,107.0,53
48,arn:aws:deepracer:us-east-1::track/Spain_track,Circuit de Barcelona-Catalunya,"A reproduction of the official F1 Spanish Grand Prix track, the Circuit de Barcelona-Catalunya features 16 turns and two massive straightaways.

Length: 60 m (196')
Width: 107 cm (42"")",1588291200000,31,60.0,107.0,125
49,arn:aws:deepracer:us-east-1::track/reInvent2019_track,Smile Speedway,"The official track for the 2019 AWS DeepRacer Championship Cup finals, this is a moderately challenging track ideal for stepping up your training and experimentation.

Length: 23.12 m (75.85')
Width: 107 cm (42"")",1585699200000,88,23.12,107.0,4136
50,arn:aws:deepracer:us-east-1::track/reinvent_base,re:Invent 2018,"Inspired by Monza, re:Invent 2018 was the first Championship Cup track. This short, classic speedway remains a perennial rookie favorite.

Length: 17.6 m (57.97')
Width: 76 cm (30"")",1583020800000,69,17.6,76.0,5105
51,arn:aws:deepracer:us-east-1::track/AmericasGeneratedInclStart,Baadal Track,"“Baadal” is the Hindi word for “cloud.” The Baadal Track’s tight winding corners open up into long arching straightaways, perfect for passing opportunities.

Length: 39 m (128')
Width: 107 cm (42"")",1580515200000,72,39.0,107.0,131
52,arn:aws:deepracer:us-east-1::track/LGSWide,SOLA Speedway,"Dedicated to reigning AWS DeepRacer Championship Cup winner, SOLA-DNP, the SOLA Speedway features high-speed straightaways and hairpin turns.

Length: 38 m (124')
Width: 106 cm (42"")",1577836800000,50,38.0,106.0,52
53,arn:aws:deepracer:us-east-1::track/Vegas_track,AWS Summit Raceway,"Created to prepare racers for the 2020 AWS DeepRacer League, the AWS Summit Raceway provides a solid training warm up for any agent.

Length: 22.57 m (74')
Width: 91 cm (36"")",1575158400000,49,22.57,91.0,164
54,arn:aws:deepracer:us-east-1::track/Canada_Training,Toronto Turnpike Training,"October’s training track for the 2019 Virtual Circuit World Tour, the Toronto Turnpike bookends a variety of subtle curves with two hairpins.

Length: 21.74 m (71.33')
Width: 76 cm (30"")",1569888000000,25,21.74,76.0,26
55,arn:aws:deepracer:us-east-1::track/Mexico_track,Cumulo Carrera Training,"September’s training track for the 2019 Virtual Circuit World Tour, the Cumulo Carrera is a good choice for training for cornering convergence.

Length: 20.51 m (67.29')
Width: 76 cm (30"")",1567296000000,23,20.51,76.0,39
56,arn:aws:deepracer:us-east-1::track/China_track,Shanghai Sudu Training,"August’s training track for the 2019 Virtual Circuit World Tour, the Shanghai Sudu is an ideal speedway for experimenting with bold corners and basic straightaways.

Length: 22.92 m (75.2')
Width: 76 cm (30"")",1564617600000,32,22.92,76.0,58
57,arn:aws:deepracer:us-east-1::track/New_York_Track,Empire City Training,"July’s training track for the 2019 Virtual Circuit World Tour, the Empire City showcases a mix of subtle chicanes, moderate corners, and short straights.

Length: 21.88 m (71.78')
Width: 76 cm (30"")",1561939200000,42,21.88,76.0,72
58,arn:aws:deepracer:us-east-1::track/Tokyo_Training_track,Kumo Torakku Training,"June’s training track for the 2019 Virtual Circuit World Tour, the Kumo Torakku is complex and dramatic, featuring two 180-degree turns and a longstraightaway.

Length: 22.63 m (74.25')
Width: 76 cm (30"")",1559347200000,31,22.63,76.0,34
59,arn:aws:deepracer:us-east-1::track/Virtual_May19_Train_track,London Loop Training,"May’s training track for the 2019 Virtual Circuit World Tour, the London Loop provides a variety of moderate curves and straightaways.

Length: 19.45 m (63.81')
Width: 76 cm (30"")",1556668800000,16,19.45,76.0,57
60,arn:aws:deepracer:us-east-1::track/Bowtie_track,Bowtie Track,"The Bowtie offers a simple symmetrical track with a twist. It features shallow turns that you can use to experiment with different racing behaviors.

Length: 17.43 m (57.19')
Width: 76 cm (30"")",1554076800000,50,17.43,76.0,131
61,arn:aws:deepracer:us-east-1::track/Oval_track,Oval Track,"Inspired by Indy Speedway, the Oval Track is simple and gives the agent space to learn different strategies. It’s a good choice for getting started.

Length: 19.55 m (64.14')
Width: 76 cm (30"")",1551398400000,92,19.55,76.0,269
62,arn:aws:deepracer:us-east-1::track/reInvent2019_wide,A to Z Speedway,"It’s easier for an agent to navigate this extra wide version of re:Invent 2018. Use it to get started with object avoidance and head-to-head race training.

Length: 16.64 m (54.59')
Width: 107 cm (42"")",1548979200000,94,16.64,107.0,854
